fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-09-02,18 de Marzo C,Tejas,Tejas,33,246,1493,4182
2015-09-05,18 de Marzo C,Tejas,Tejas,33,520,3263,10400
2015-09-07,18 de Marzo C,Tejas,Tejas,33,220,1364,4620
2015-09-07,18 de Marzo C,Tejas,Tejas,34,201,1266.3,3960
2015-09-09,18 de Marzo C,Tejas,Tejas,34,768,4646,15206
2015-09-12,18 de Marzo C,Tejas,Tejas,34,252,1436.4,5292
2015-09-14,18 de Marzo C,Tejas,Tejas,34,387,2483,8359
2015-09-14,18 de Marzo C,Tejas,Tejas,35,92,617,1840
2015-09-16,18 de Marzo C,Tejas,Tejas,35,524,3169,10951.6
2015-09-19,18 de Marzo C,Tejas,Tejas,35,423,2697,9179.1
2015-09-21,18 de Marzo C,Tejas,Tejas,35,420,2638,9450
2015-09-23,18 de Marzo C,Tejas,Tejas,35,146,914,3358
2015-09-23,18 de Marzo C,Tejas,Tejas,36,314,2083,6656.8
2015-09-26,18 de Marzo C,Tejas,Tejas,36,483,2921,10529.4
2015-09-28,18 de Marzo C,Tejas,Tejas,36,270,1625,6102
