fecha, granja, tipo_alimento, origen_alimento, cantidad
,,,,
2015-08-18,El Rincón,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-08-18,El Rincón,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-08-22,El Rincón,Preiniciador 2, Planta de Alimentos Sanfandila,2700
2015-09-02,El Rincón,Nupig Sew, Planta de Alimentos Sanfandila,100
2015-09-02,El Rincón,Nupig Uno, Planta de Alimentos Sanfandila,2500
2015-09-05,El Rincón,Preiniciador 3, Planta de Alimentos Sanfandila,2950
2015-09-12,El Rincón,Preiniciador 2, Planta de Alimentos Sanfandila,5740
2015-09-12,El Rincón,Preiniciador 3, Planta de Alimentos Sanfandila,2990
2015-09-15,El Rincón,Iniciador F2, Planta de Alimentos Sanfandila,5900
2015-09-19,El Rincón,Preiniciador 3, Planta de Alimentos Sanfandila,2740
2015-09-23,El Rincón,Iniciador F2, Planta de Alimentos Sanfandila,6035
2015-09-24,El Rincón,Nupig Sew, Planta de Alimentos Sanfandila,100
2015-09-24,El Rincón,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-09-26,El Rincón,Nusem, Planta de Alimentos Sanfandila,3680
2015-09-26,El Rincón,Nupig Sew, Planta de Alimentos Sanfandila,6225
2015-09-28,El Rincón,Crecimiento , Planta de Alimentos Sanfandila,5975
2015-09-28,El Rincón,Iniciador F2, Planta de Alimentos Sanfandila,9065
2015-10-03,El Rincón,Preiniciador 3, Planta de Alimentos Sanfandila,2960
2015-10-08,El Rincón,Crecimiento , Planta de Alimentos Sanfandila,8540
2015-10-08,El Rincón,Iniciador F2, Planta de Alimentos Sanfandila,10435
2015-10-15,El Rincón,Crecimiento , Planta de Alimentos Sanfandila,6025
2015-10-15,El Rincón,Iniciador F2, Planta de Alimentos Sanfandila,6105
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
