fecha,granja,tipo_alimento,origen_alimento,cantidad

2015-07-17,18 de Marzo A,Nupig Sew,Planta de Alimentos Sanfandila,200

2015-07-17,18 de Marzo A,Nupig Uno,Planta de Alimentos Sanfandila,2000

2015-07-23,18 de Marzo A,Nupig Sew,Planta de Alimentos Sanfandila,400

2015-07-23,18 de Marzo A,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-07-29,18 de Marzo A,Nupig Sew,Planta de Alimentos Sanfandila,600

2015-07-29,18 de Marzo A,Nupig Uno,Planta de Alimentos Sanfandila,3500

2015-08-06,18 de Marzo A,Nupig Sew,Planta de Alimentos Sanfandila,200

2015-08-06,18 de Marzo A,Nupig Uno,Planta de Alimentos Sanfandila,2000

2015-08-08,18 de Marzo A,Nusem,Planta de Alimentos Sanfandila,5485

2015-08-11,18 de Marzo A,Nupig Sew,Planta de Alimentos Sanfandila,200

2015-08-11,18 de Marzo A,Nupig Uno,Planta de Alimentos Sanfandila,2000

2015-08-14,18 de Marzo A,Preiniciador 2,Planta de Alimentos Sanfandila,9060

2015-08-21,18 de Marzo A,Preiniciador 2,Planta de Alimentos Sanfandila,12890

2015-08-21,18 de Marzo A,Nupig Sew,18 de Marzo B,-800

2015-08-22,18 de Marzo A,Preiniciador 3,Planta de Alimentos Sanfandila,10085

2015-08-28,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,6220

2015-08-28,18 de Marzo A,Preiniciador 3,Planta de Alimentos Sanfandila,8920

2015-08-29,18 de Marzo A,Preiniciador 2,Planta de Alimentos Sanfandila,8750

2015-08-29,18 de Marzo A,Preiniciador 2,18 de Marzo B,-8750

2015-09-02,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,7980

2015-09-05,18 de Marzo A,Preiniciador 3,Planta de Alimentos Sanfandila,6090

2015-09-06,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,6125

2015-09-08,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,9690

2015-09-10,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,8655

2015-09-12,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,9080

2015-09-12,18 de Marzo A,Preiniciador 3,Planta de Alimentos Sanfandila,8780

2015-09-12,18 de Marzo A,Preiniciador 3,18 de Marzo B,-8780

2015-09-14,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,8955

2015-09-16,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,8585

2015-09-18,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,5590

2015-09-18,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,9185

2015-09-21,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,12010

2015-09-23,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,9430

2015-09-23,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,6335

2015-09-25,18 de Marzo A,Iniciador F2,Planta de Alimentos Sanfandila,9180

2015-09-25,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,5955

2015-09-28,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,11680

2015-09-30,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,12485

2015-10-02,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,12250

2015-10-03,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,9020

2015-10-05,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,9270

2015-10-06,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,17895

2015-10-08,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,11690

2015-10-09,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,5880

2015-10-10,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,9215
