fecha,edad_sem,granja,tamaño_muestra,kilos_total

2015-04-26,3,Potrerillos 2,1461,8035.5

2015-05-03,4,Potrerillos 2,1937,14531.374

2015-05-03,3,Potrerillos 2,1044,5742

2015-05-10,5,Potrerillos 2,1936,18643.68

2015-05-10,4,Potrerillos 2,1314,9857.628

2015-05-17,6,Potrerillos 2,1925,23873.85

2015-05-17,5,Potrerillos 2,1303,12547.89

2015-05-24,7,Potrerillos 2,1911,30107.805

2015-05-24,6,Potrerillos 2,1272,15775.344

2015-05-31,8,Potrerillos 2,1905,37734.24

2015-05-31,7,Potrerillos 2,1261,19867.055

2015-06-07,9,Potrerillos 2,1860,45045.48

2015-06-07,8,Potrerillos 2,1255,24859.04

2015-06-14,10,Potrerillos 2,1845,53890.605

2015-06-14,9,Potrerillos 2,1239,30006.102

2015-06-21,10,Potrerillos 2,1235,36073.115
