fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-08-24,Potrerillos 3,Tepuza,Modulo 1,22,481,18425,40885
2015-08-25,Potrerillos 3,Tepuza,Modulo 1,22,277,10803,23822
2015-08-25,Potrerillos 3,Palomas,Modulo 1,22,184,7192,15824
2015-08-26,Potrerillos 3,Palomas,Modulo 1,22,320,11660,27840
2015-08-26,Potrerillos 3,Sanfandila,Modulo 1,22,105,3780,9135
2015-08-27,Potrerillos 3,Sanfandila,Modulo 1,22,273,9828,24024
2015-08-27,Potrerillos 3,Purgatorio,Modulo 1,22,234,9360,20592
2015-08-27,Potrerillos 3,Purgatorio,Modulo 1,23,243,8162,19683
2015-08-26,Potrerillos 3,Palomas,Modulo 1,23,40,1440,3200
2015-09-01,Potrerillos 3,Palomas,Torrecillas,23,298,9819,25628
2015-08-28,Potrerillos 3,Sanfandila,Torrecillas,23,480,16215,39360
2015-08-29,Potrerillos 3,Sanfandila,Torrecillas,23,535,17105,44405
2015-09-01,Potrerillos 3,Tepuza,Torrecillas,23,307,10623,26402
2015-09-01,Potrerillos 3,Palomas,Torrecillas,24,638,21021,50402
2015-09-01,Potrerillos 3,Tepuza,Torrecillas,24,307,10623,24253
2015-09-02,Potrerillos 3,Tepuza,Torrecillas,24,318,9953,25440
2015-09-02,Potrerillos 3,Purgatorio,Torrecillas,24,238,7378,19040
2015-09-02,Potrerillos 3,Sanfandila,Torrecillas,24,570,17459,45600
2015-09-03,Potrerillos 3,Sanfandila,Potrerillos 2,25,340,11240,25160
