fecha,edad_sem,granja,tamano_muestra,kilos_total

2015-08-30,13,Potrerillos 3,1873,85493.085

2015-08-30,12,Potrerillos 3,1298,51942.066

2015-09-06,14,Potrerillos 3,1862,95731.006

2015-09-06,13,Potrerillos 3,1900,86725.5

2015-09-06,12,Potrerillos 3,2070,82835.19

2015-09-06,11,Potrerillos 3,340,11742.24

2015-09-13,15,Potrerillos 3,1854,106428.87

2015-09-13,14,Potrerillos 3,1899,97633.287

2015-09-13,13,Potrerillos 3,2066,94302.57

2015-09-13,12,Potrerillos 3,340,13605.78

2015-09-20,16,Potrerillos 3,1836,117270.828

2015-09-20,15,Potrerillos 3,1897,108897.285

2015-09-20,14,Potrerillos 3,2064,106116.432

2015-09-20,13,Potrerillos 3,340,15519.3

2015-09-27,17,Potrerillos 3,1829,128807.325

2015-09-27,16,Potrerillos 3,1895,121039.335

2015-09-27,15,Potrerillos 3,2062,118369.11

2015-09-27,14,Potrerillos 3,340,17480.42

2015-10-04,18,Potrerillos 3,1826,140700.604

2015-10-04,17,Potrerillos 3,1891,133173.675

2015-10-04,16,Potrerillos 3,2059,131514.507

2015-10-04,15,Potrerillos 3,340,19517.7

2015-10-11,19,Potrerillos 3,1818,152542.926

2015-10-11,18,Potrerillos 3,1889,145555.006

2015-10-11,17,Potrerillos 3,2054,144652.95

2015-10-11,16,Potrerillos 3,340,21716.82
