fecha,granja,movimiento,traspaso_granja_destino,cantidad,kilos_totales,dias_totales,lote,flujo
2015-09-07,Sanfandila C,Venta de Primera,,130,13985,20150,14,Sanfandila
2015-09-08,Sanfandila C,Venta de Primera,,32,3238,4992,14,Sanfandila
2015-09-09,Sanfandila C,Venta de Primera,,93,9065,14601,14,Sanfandila
2015-09-07,Sanfandila C,Venta de Primera,,330,35499,51150,14,Tepuza
2015-09-08,Sanfandila C,Venta de Primera,,52,5262,8112,14,Tepuza
2015-09-07,Sanfandila C,Venta de Primera,,272,29256,42160,14,Palomas
2015-09-08,Sanfandila C,Venta de Primera,,66,6679,10296,14,Palomas
2015-09-08,Sanfandila C,Venta de Primera,,1,75,156,14,Palomas
2015-09-09,Sanfandila C,Venta de Primera,,4,390,600,15,Sanfandila
2015-09-12,Sanfandila C,Venta de Primera,,258,26796,39474,15,Sanfandila
2015-09-14,Sanfandila C,Venta de Primera,,424,41770,65720,15,Sanfandila
2015-09-16,Sanfandila C,Venta de Primera,,211,18030,33127,15,Sanfandila
2015-09-18,Sanfandila C,Venta de Primera,,88,7673,13992,15,Sanfandila
2015-09-19,Sanfandila C,Venta de Primera,,34,2810,5440,15,Sanfandila
2015-09-12,Sanfandila C,Venta de Desecho,,1,70,153,15,Sanfandila
2015-09-14,Sanfandila C,Venta de Desecho,,6,320,930,15,Sanfandila
2015-09-12,Sanfandila C,Venta de Retrasado,,4,325,612,15,Sanfandila
2015-09-14,Sanfandila C,Venta de Retrasado,,3,235,465,15,Sanfandila
2015-09-19,Sanfandila C,Venta de Retrasado,,19,1260,3040,15,Sanfandila
2015-09-12,Sanfandila C,Venta de Primera,,163,16929,24939,15,Purgatorio
