fecha,granja,tipo_alimento,origen_alimento,kilos
2015-06-16,La luz,Crecimiento,Planta de Alimentos Sanfandila,12215
2015-06-17,La Luz,Crecimiento,Planta de Alimentos Sanfandila,12315
2015-06-18,La Luz,Crecimiento,Planta de Alimentos Sanfandila,5925
2015-06-19,La Luz,Crecimiento,Planta de Alimentos Sanfandila,12380
2015-06-20,La Luz,Crecimiento,Planta de Alimentos Sanfandila,7050
2015-06-21,La Luz,Crecimiento,Planta de Alimentos Sanfandila,6190
2015-06-22,La Luz,Crecimiento,Planta de Alimentos Sanfandila,5315
2015-06-23,La Luz,Crecimiento,Planta de Alimentos Sanfandila,6280
2015-06-24,La Luz,Crecimiento,Planta de Alimentos Sanfandila,5830
2015-06-25,La Luz,Crecimiento,Planta de Alimentos Sanfandila,6345
2015-06-26,La Luz,Crecimiento,Planta de Alimentos Sanfandila,5945
2015-06-27,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6590
2015-06-28,La Luz,Crecimiento,Planta de Alimentos Sanfandila,6600
2015-06-29,La Luz,Crecimiento,Planta de Alimentos Sanfandila,7070
2015-06-30,La Luz,Desarrollo,Planta de Alimentos Sanfandila,3050
2015-07-01,La Luz,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-07-02,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-07-03,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-07-04,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-07-05,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-07-06,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-07-07,La Luz,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-07-08,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-07-09,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-07-10,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-07-11,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-07-12,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-07-13,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-07-14,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-07-15,La Luz,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-07-16,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-07-17,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-07-18,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-07-19,La Luz,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-07-20,La Luz,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-07-21,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-07-22,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-07-23,La Luz,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-07-24,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-07-25,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-07-26,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-07-27,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-07-28,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-07-29,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-07-30,La Luz,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-07-31,La Luz,Engorda 10,Sanfandila B,330
2015-08-01,La Luz,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-08-02,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-08-03,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-08-04,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-08-05,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-08-06,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-08-07,La Luz,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-08-08,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-08-09,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-08-10,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-08-11,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-08-12,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-08-13,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-08-14,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-08-15,La Luz,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-08-16,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-08-18,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-08-17,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-08-19,La Luz,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-08-20,La Luz,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-08-21,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-08-22,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-08-23,La Luz,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-08-24,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-08-25,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-08-26,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-08-27,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-08-28,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-08-29,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-08-30,La Luz,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-08-31,La Luz,Engorda 10,Sanfandila B,330
2015-09-01,La Luz,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-09-02,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-09-03,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-09-04,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-09-05,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-09-06,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-09-07,La Luz,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-09-08,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-09-09,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-09-10,La Luz,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-09-11,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-09-12,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-09-13,La Luz,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-09-14,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-09-15,La Luz,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-09-16,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-17,La Luz,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-18,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-09-19,La Luz,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-09-20,La Luz,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-09-21,La Luz,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-09-22,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-09-23,La Luz,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-09-24,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-09-25,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-09-26,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-09-27,La Luz,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-09-28,La Luz,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-09-29,La Luz,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-09-30,La Luz,Engorda 10,Planta de Alimentos Sanfandila,6065
