fecha,granja,tipo_alimento,origen_alimento,cantidad
2015-07-01,La Luz,Nupig Sew,Planta de Alimentos Sanfandila,100
2015-07-01,La Luz,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-07-09,La Luz,Preiniciador 2,Planta de Alimentos Sanfandila,3250
2015-07-16,La Luz,Nupig Sew,Planta de Alimentos Sanfandila,100
2015-07-16,La Luz,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-07-18,La Luz,Preiniciador 2,Planta de Alimentos Sanfandila,6360
2015-07-21,La Luz,Nupig Sew,Planta de Alimentos Sanfandila,100
2015-07-24,La Luz,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-07-25,La Luz,Preiniciador 3,Planta de Alimentos Sanfandila,3140
2015-07-28,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,2875
2015-07-29,La Luz,Nupig Sew,Planta de Alimentos Sanfandila,100
2015-07-29,La Luz,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-07-30,La Luz,Preiniciador 3,Planta de Alimentos Sanfandila,4305
2015-08-01,La Luz,Preiniciador 2,Planta de Alimentos Sanfandila,3015
2015-08-01,La Luz,Preiniciador 3,Planta de Alimentos Sanfandila,5885
2015-08-03,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,9010
2015-08-04,La Luz,Preiniciador 3,Maguey,-3840
2015-08-05,La Luz,Nupig Uno,Planta de Alimentos Sanfandila,1000
2015-08-05,La Luz,Nupig Sew,Planta de Alimentos Sanfandila,50
2015-08-08,La Luz,Preiniciador 3,Planta de Alimentos Sanfandila,7880
2015-08-11,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,6020
2015-08-14,La Luz,Preiniciador 3,Planta de Alimentos Sanfandila,2955
2015-08-18,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,6015
2015-08-20,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9065
2015-08-21,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,5045
2015-08-22,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,3045
2015-08-28,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,5665
2015-08-28,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9005
2015-09-03,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,6555
2015-09-03,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,5805
2015-09-07,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,6335
2015-09-08,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9235
2015-11-09,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,4895
2015-09-12,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,5630
2015-09-12,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9670
2015-09-14,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,8860
2015-09-15,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,6110
2015-09-16,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,8030
2015-09-18,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5950
2015-09-18,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,2780
2015-09-19,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9085
2015-09-21,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9020
2015-09-21,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5880
2015-09-23,La Luz,Iniciador F2,Planta de Alimentos Sanfandila,3050
2015-09-23,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9060
2015-09-25,La Luz,Desarrollo,Planta de Alimentos Sanfandila,5790
2015-09-25,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9125
2015-09-28,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9455
2015-09-29,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8445
2015-10-01,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,5910
2015-10-03,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8910
2015-10-03,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,7360
2015-10-05,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,9020
2015-10-07,La Luz,Desarrollo,Planta de Alimentos Sanfandila,8930
2015-10-08,La Luz,Crecimiento ,Planta de Alimentos Sanfandila,5085
2015-10-10,La Luz,Engorda 5ppm,Planta de Alimentos Sanfandila,6035
2015-10-10,La Luz,Desarrollo,Planta de Alimentos Sanfandila,9305
