fecha,edad_sem,granja,tamano_muestra,kilos_total
2015-07-12,5,La Luz,595,5729.85
2015-07-12,4,La Luz,304,2280.61
2015-07-19,6,La Luz,594,7366.79
2015-07-19,5,La Luz,302,2908.26
2015-07-26,7,La Luz,592,9326.96
2015-07-26,6,La Luz,301,3733.00
2015-08-02,8,La Luz,586,11607.49
2015-08-02,7,La Luz,300,4726.50
2015-08-02,6,La Luz,588,7292.38
2015-08-02,5,La Luz,521,5017.23
2015-08-09,9,La Luz,584,14143.31
2015-08-09,8,La Luz,299,5922.59
2015-08-09,7,La Luz,584,9200.92
2015-08-09,6,La Luz,519,6436.64
2015-08-16,10,La Luz,580,16941.22
2015-08-16,9,La Luz,298,7216.96
2015-08-16,8,La Luz,580,11488.64
2015-08-16,7,La Luz,516,8129.58
2015-08-23,11,La Luz,577,19927.27
2015-08-23,10,La Luz,297,8675.07
2015-08-23,9,La Luz,576,13949.57
2015-08-23,8,La Luz,511,10121.89
2015-08-23,7,La Luz,400,6302.00
2015-08-23,6,La Luz,434,5382.47
2015-08-30,12,La Luz,575,23009.78
2015-08-30,11,La Luz,295,10188.12
2015-08-30,10,La Luz,573,16736.76
2015-08-30,9,La Luz,507,12278.53
2015-08-30,8,La Luz,400,7923.20
2015-08-30,7,La Luz,433,6821.92
2015-09-06,13,La Luz,574,26200.23
2015-09-06,12,La Luz,294,11765.00
2015-09-06,11,La Luz,570,19685.52
2015-09-06,10,La Luz,504,14721.34
2015-09-06,9,La Luz,399,9662.98
2015-09-06,8,La Luz,432,8557.06
2015-09-13,14,La Luz,572,29408.24
2015-09-13,13,La Luz,293,13373.99
2015-09-13,12,La Luz,568,22729.66
2015-09-13,11,La Luz,502,17337.07
2015-09-13,10,La Luz,398,11625.18
2015-09-13,9,La Luz,430,10413.74
2015-09-20,15,La Luz,570,32720.85
2015-09-20,14,La Luz,292,15012.60
2015-09-20,13,La Luz,565,25789.43
2015-09-20,12,La Luz,499,19968.48
2015-09-20,11,La Luz,398,13745.33
2015-09-20,10,La Luz,428,12501.45
2015-09-27,16,La Luz,568,36279.86
2015-09-27,15,La Luz,291,16704.86
2015-09-27,14,La Luz,565,29048.35
2015-09-27,13,La Luz,499,22776.86
2015-09-27,12,La Luz,395,15806.72
2015-09-27,11,La Luz,420,14505.12
2015-10-04,17,La Luz,565,39790.13
2015-10-04,16,La Luz,289,18459.30
2015-10-04,15,La Luz,560,32146.80
2015-10-04,14,La Luz,496,25500.85
2015-10-04,13,La Luz,394,17984.13
2015-10-04,12,La Luz,415,16607.06
2015-10-11,18,La Luz,565,43535.51
2015-10-11,17,La Luz,289,20352.83
2015-10-11,16,La Luz,559,35705.01
2015-10-11,15,La Luz,495,28415.48
2015-10-11,14,La Luz,394,20256.72
2015-10-11,13,La Luz,410,18714.45
