fecha, granja, tipo_alimento, origen_alimento, cantidad
,,,,
2015-05-14,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-05-14,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-05-20,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-05-20,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-05-26,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-05-26,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-05-27,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-06-01,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,1050
2015-06-01,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,1000
2015-06-01,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-06-05,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-06-06,Potrero,Preiniciador 2, Planta de Alimentos Sanfandila,3175
2015-06-12,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-06-12,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,4000
2015-06-13,Potrero,Preiniciador 2, Planta de Alimentos Sanfandila,6135
2015-06-13,Potrero,Preiniciador 3, Planta de Alimentos Sanfandila,6540
2015-06-20,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-06-20,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,1000
2015-06-20,Potrero,Preiniciador 2, Planta de Alimentos Sanfandila,6565
2015-06-20,Potrero,Preiniciador 3, Planta de Alimentos Sanfandila,10050
2015-06-23,Potrero,Iniciador F2, Planta de Alimentos Sanfandila,6085
2015-06-26,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-06-26,Potrero,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-06-28,Potrero,Preiniciador 2, Planta de Alimentos Sanfandila,6720
2015-06-28,Potrero,Preiniciador 3, Planta de Alimentos Sanfandila,9510
2015-06-30,Potrero,Nupig Sew, Planta de Alimentos Sanfandila,300
