fecha,granja,total_muertos,causa_muerte,muerto_por_esta_causa,lote,flujo
2015-05-30,Potrero,1,No Determinado,1,15180101,Tejas
2015-06-01,Potrero,1,Poliserositis,1,15180101,Tejas
2015-06-02,Potrero,1,No Determinado,1,15180101,Tejas
2015-06-03,Potrero,1,Poliserositis,1,15180101,Tejas
2015-06-05,Potrero,2,Edema,2,15180101,Tejas
2015-06-09,Potrero,1,No Determinado,1,15180101,Tejas
2015-06-10,Potrero,2,No Determinado,2,15180101,Tejas
2015-06-11,Potrero,1,No Determinado,1,15180101,Tejas
2015-06-12,Potrero,2,Descriado,2,15180101,Tejas
2015-06-13,Potrero,2,Descriado,2,15180101,Tejas
2015-06-16,Potrero,2,Descriado,2,15180101,Tejas
2015-06-19,Potrero,1,Poliserositis,1,15180101,Tejas
2015-06-20,Potrero,2,Poliserositis,2,15180101,Tejas
2015-06-24,Potrero,1,Neumonia,1,15180101,Tejas
2015-06-27,Potrero,2,Poliserositis,2,15180101,Tejas
2015-06-28,Potrero,1,Ulcera Gástrica,1,15180101,Tejas
2015-06-30,Potrero,2,Poliserositis,2,15180101,Tejas
2015-07-01,Potrero,2,Descriado,2,15180101,Tejas
2015-07-08,Potrero,1,No Determinado,1,15180101,Tejas
2015-07-10,Potrero,1,Poliserositis,1,15180101,Tejas
2015-07-30,Potrero,1,Neumonia,1,15180101,Tejas
2015-08-09,Potrero,1,No Determinado,1,15180101,Tejas
2015-08-10,Potrero,1,No Determinado,1,15180101,Tejas
2015-08-16,Potrero,1,No Determinado,1,15180101,Tejas
2015-08-21,Potrero,1,Neumonia,1,15180101,Tejas
2015-08-26,Potrero,1,No Determinado,1,15180101,Tejas
2015-08-30,Potrero,1,No Determinado,1,15180101,Tejas
2015-09-02,Potrero,1,Neumonia,1,15180101,Tejas
2015-09-04,Potrero,1,Neumonia,1,15180101,Tejas
2015-09-08,Potrero,1,Sindrome Hemorrágico,1,15180101,Tejas
2015-09-11,Potrero,1,Sindrome Hemorrágico,1,15180101,Tejas
2015-09-15,Potrero,2,Neumonia,2,15180101,Tejas
2015-09-17,Potrero,1,Neumonia,1,15180101,Tejas
2015-09-23,Potrero,1,Sindrome Hemorrágico,1,15180101,Tejas
2015-09-24,Potrero,3,Neumonia,3,15180101,Tejas
2015-09-25,Potrero,4,Neumonia,4,15180101,Tejas
2015-09-26,Potrero,1,Neumonia,1,15180101,Tejas
2015-09-27,Potrero,2,No Determinado,2,15180101,Tejas
2015-06-01,Potrero,1,Edema,1,15190101,Tejas
2015-06-02,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-04,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-05,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-08,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-09,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-11,Potrero,1,No Determinado,1,15190101,Tejas
2015-06-13,Potrero,3,Sacrificado,3,15190101,Tejas
2015-06-15,Potrero,2,Descriado,2,15190101,Tejas
2015-06-16,Potrero,1,Descriado,1,15190101,Tejas
2015-06-17,Potrero,1,Descriado,1,15190101,Tejas
2015-06-18,Potrero,1,Descriado,1,15190101,Tejas
2015-06-19,Potrero,1,Poliserositis,1,15190101,Tejas
2015-06-27,Potrero,1,Descriado,1,15190101,Tejas
2015-06-29,Potrero,1,Poliserositis,1,15190101,Tejas
2015-06-30,Potrero,1,Neumonia,1,15190101,Tejas
2015-07-01,Potrero,1,Descriado,1,15190101,Tejas
2015-07-02,Potrero,1,Poliserositis,1,15190101,Tejas
2015-07-04,Potrero,3,Sacrificado,3,15190101,Tejas
2015-07-05,Potrero,1,No Determinado,1,15190101,Tejas
2015-07-06,Potrero,1,No Determinado,1,15190101,Tejas
2015-07-07,Potrero,1,No Determinado,1,15190101,Tejas
2015-07-09,Potrero,1,Poliserositis,1,15190101,Tejas
2015-07-11,Potrero,1,Poliserositis,1,15190101,Tejas
2015-07-19,Potrero,2,Neumonia,2,15190101,Tejas
2015-07-24,Potrero,2,Poliserositis,2,15190101,Tejas
2015-07-25,Potrero,1,No Determinado,1,15190101,Tejas
2015-07-27,Potrero,1,No Determinado,1,15190101,Tejas
2015-08-01,Potrero,1,No Determinado,1,15190101,Tejas
2015-08-05,Potrero,1,Neumonia,1,15190101,Tejas
2015-08-11,Potrero,2,No Determinado,2,15190101,Tejas
2015-08-15,Potrero,1,Sacrificado,1,15190101,Tejas
2015-08-18,Potrero,1,No Determinado,1,15190101,Tejas
2015-08-20,Potrero,1,No Determinado,1,15190101,Tejas
2015-08-25,Potrero,2,Neumonia,2,15190101,Tejas
2015-08-29,Potrero,1,Neumonia,1,15190101,Tejas
2015-08-30,Potrero,1,Neumonia,1,15190101,Tejas
2015-09-01,Potrero,2,No Determinado,2,15190101,Tejas
2015-09-02,Potrero,1,No Determinado,1,15190101,Tejas
2015-09-03,Potrero,1,No Determinado,1,15190101,Tejas
2015-09-06,Potrero,1,No Determinado,1,15190101,Tejas
2015-09-10,Potrero,1,Neumonia,1,15190101,Tejas
2015-09-12,Potrero,1,Neumonia,1,15190101,Tejas
2015-09-15,Potrero,2,Ulcera Gástrica,2,15190101,Tejas
2015-09-20,Potrero,1,No Determinado,1,15190101,Tejas
2015-09-22,Potrero,1,Sindrome Hemorrágico,1,15190101,Tejas
2015-09-23,Potrero,1,No Determinado,1,15190101,Tejas
2015-09-24,Potrero,3,Neumonia,3,15190101,Tejas
2015-09-25,Potrero,3,Neumonia,3,15190101,Tejas
2015-10-01,Potrero,1,No Determinado,1,15190101,Tejas
2015-10-03,Potrero,1,Neumonia,1,15190101,Tejas
2015-10-06,Potrero,2,NeumoniaNo Determinado,2,15190101,Tejas
2015-10-07,Potrero,1,Neumonia,1,15190101,Tejas
2015-10-09,Potrero,1,Neumonia,1,15190101,Tejas
2015-10-11,Potrero,1,Sindrome Hemorrágico,1,15190101,Tejas
2015-06-12,Potrero,1,Descriado,1,15200101,Tejas
2015-06-13,Potrero,2,Sacrificado,2,15200101,Tejas
2015-06-15,Potrero,1,Descriado,1,15200101,Tejas
2015-06-18,Potrero,2,NeumoniaDescriado,2,15200101,Tejas
2015-06-20,Potrero,2,Neumonia,2,15200101,Tejas
2015-06-23,Potrero,1,Descriado,1,15200101,Tejas
2015-07-11,Potrero,1,Descriado,1,15200101,Tejas
2015-07-12,Potrero,1,No Determinado,1,15200101,Tejas
2015-07-14,Potrero,1,Neumonia,1,15200101,Tejas
2015-07-15,Potrero,3,Sacrificado,3,15200101,Tejas
2015-07-23,Potrero,1,Neumonia,1,15200101,Tejas
2015-07-28,Potrero,2,No Determinado,2,15200101,Tejas
2015-07-30,Potrero,1,Poliserositis,1,15200101,Tejas
2015-08-01,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-03,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-04,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-06,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-09,Potrero,1,Poliserositis,1,15200101,Tejas
2015-08-12,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-14,Potrero,1,No Determinado,1,15200101,Tejas
2015-08-15,Potrero,1,Ulcera Gástrica,1,15200101,Tejas
2015-08-17,Potrero,1,Poliserositis,1,15200101,Tejas
2015-08-18,Potrero,1,Sindrome Hemorrágico,1,15200101,Tejas
2015-08-21,Potrero,1,Ulcera Gástrica,1,15200101,Tejas
