fecha,Edad_Sem, granja, tamaño_muestra, kilos_total
,,,,
2015-05-24,3,Potrero,1164,6402
2015-05-31,3,Potrero,538,2959
2015-05-31,4,Potrero,1559,11695.618
2015-06-07,5,Potrero,1550,14926.5
2015-06-07,4,Potrero,739,5543.978
2015-06-07,3,Potrero,384,2112
2015-06-14,6,Potrero,1542,19123.884
2015-06-14,5,Potrero,1213,11681.19
2015-06-14,4,Potrero,1140,8552.28
2015-06-14,3,Potrero,351,1930.5
2015-06-21,7,Potrero,1536,24199.68
2015-06-21,6,Potrero,1207,14969.214
2015-06-21,5,Potrero,1133,10910.79
2015-06-21,4,Potrero,763,5724.026
2015-06-21,3,Potrero,444,2442
2015-06-28,8,Potrero,1530,30306.24
2015-06-28,7,Potrero,1200,18906
2015-06-28,6,Potrero,1129,14001.858
2015-06-28,5,Potrero,1376,13250.88
2015-06-28,4,Potrero,1028,7712.056
2015-06-28,3,Potrero,881,4845.5
2015-07-05,9,Potrero,1526,36956.668
2015-07-05,8,Potrero,1187,23512.096
2015-07-05,7,Potrero,1128,17771.64
2015-07-05,6,Potrero,1364,16916.328
2015-07-05,5,Potrero,1020,9822.6
2015-07-05,4,Potrero,1171,8784.842
2015-07-05,3,Potrero,1179,6484.5
2015-07-12,10,Potrero,1523,44485.307
2015-07-12,9,Potrero,1182,28625.676
2015-07-12,8,Potrero,1121,22204.768
2015-07-12,7,Potrero,1354,21332.27
2015-07-12,6,Potrero,1005,12464.01
2015-07-12,5,Potrero,1158,11151.54
2015-07-12,4,Potrero,1165,8739.83
2015-07-19,11,Potrero,1521,52529.256
2015-07-19,10,Potrero,1179,34437.411
2015-07-19,9,Potrero,1112,26930.416
2015-07-19,8,Potrero,1341,26562.528
2015-07-19,7,Potrero,989,15581.695
2015-07-19,6,Potrero,1141,14150.682
2015-07-19,5,Potrero,1151,11084.13
2015-07-26,12,Potrero,1521,60865.857
2015-07-26,11,Potrero,1174,40545.264
2015-07-26,10,Potrero,1110,32421.99
2015-07-26,9,Potrero,1329,32185.722
2015-07-26,8,Potrero,982,19451.456
2015-07-26,7,Potrero,1123,17692.865
2015-07-26,6,Potrero,1129,14001.858
2015-08-02,13,Potrero,1519,69334.755
2015-08-02,12,Potrero,1172,46899.924
2015-08-02,11,Potrero,1105,38162.28
2015-08-02,10,Potrero,1324,38672.716
2015-08-02,9,Potrero,979,23709.422
2015-08-02,8,Potrero,1111,22006.688
2015-08-02,7,Potrero,1110,17488.05
2015-08-09,14,Potrero,1518,78044.934
2015-08-09,13,Potrero,1170,53404.65
2015-08-09,12,Potrero,1098,43938.666
2015-08-09,11,Potrero,1317,45483.912
2015-08-09,10,Potrero,965,28186.685
2015-08-09,9,Potrero,1104,26736.672
2015-08-09,8,Potrero,1093,21650.144
2015-08-16,15,Potrero,1515,86968.575
2015-08-16,14,Potrero,1164,59844.732
2015-08-16,13,Potrero,1094,49935.63
2015-08-16,12,Potrero,1309,52382.253
