fecha, granja, tipo_alimento, origen_alimento, cantidad
,,,,
2015-08-24,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-08-24,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,1000
2015-09-03,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-09-03,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,4000
2015-09-04,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,2610
2015-09-08,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-09-08,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-09-12,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,2935
2015-09-15,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,100
2015-09-15,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-09-19,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,2765
2015-09-22,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-09-22,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-09-24,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,2965
2015-09-24,18 de Marzo C,Preiniciador 3, Planta de Alimentos Sanfandila,5660
2015-09-29,18 de Marzo C,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-09-29,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-10-03,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,6010
2015-10-03,18 de Marzo C,Preiniciador 3, Planta de Alimentos Sanfandila,2750
2015-10-06,18 de Marzo C,Iniciador F2, Planta de Alimentos Sanfandila,5805
2015-10-09,18 de Marzo C,Nupig Uno, Planta de Alimentos Sanfandila,600
2015-10-10,18 de Marzo C,Preiniciador 2, Planta de Alimentos Sanfandila,9070
2015-10-10,18 de Marzo C,Preiniciador 3, Planta de Alimentos Sanfandila,6655
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
