fecha, granja, tipo_alimento, origen_alimento, cantidad
,,,,
2015-09-22,18 de Marzo D,Nupig Sew, Planta de Alimentos Sanfandila,100
2015-09-22,18 de Marzo D,Nupig Uno, Planta de Alimentos Sanfandila,500
2015-09-29,18 de Marzo D,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-09-29,18 de Marzo D,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-10-06,18 de Marzo D,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-10-06,18 de Marzo D,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-10-07,18 de Marzo D,Nupig Sew,18 de Marzo C,200
2015-10-07,18 de Marzo D,Nupig Uno,18 de Marzo C,2350
2015-10-10,18 de Marzo D,Preiniciador 2, Planta de Alimentos Sanfandila,6020
2015-10-15,18 de Marzo D,Nupig Uno, Planta de Alimentos Sanfandila,500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
