fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-07-24,18 de Marzo A,Tejas,Tejas,27,320,2161,7232
2015-07-27,18 de Marzo A,Tejas,Tejas,27,438,3004,10555
2015-07-29,18 de Marzo A,Tejas,Tejas,27,405,2766,10044
2015-08-01,18 de Marzo A,Tejas,Tejas,27,232,1668,5964
2015-08-01,18 de Marzo A,Tejas,Tejas,28,247,1596,5729
2015-08-03,18 de Marzo A,Tejas,Tejas,28,475,2947,10165
2015-08-05,18 de Marzo A,Tejas,Tejas,29,380,2427,7904
2015-08-07,18 de Marzo A,Tejas,Tejas,29,535,3479,11342
2015-08-10,18 de Marzo A,Tejas,Tejas,29,497,3119,10785
2015-08-12,18 de Marzo A,Tejas,Tejas,30,447,2766,9879
2015-08-14,18 de Marzo A,Tejas,Tejas,30,526,3172,11300
