fecha,granja,total_muertos,causa_muerte,muerto_por_esta_causa,lote,flujo
2015-07-27,18 de Marzo A,1,No Determinado,1,15270101,Tejas
2015-08-05,18 de Marzo A,1,Edema,1,15270101,Tejas
2015-08-07,18 de Marzo A,1,No Determinado,1,15270101,Tejas
2015-08-14,18 de Marzo A,1,No Determinado,1,15270101,Tejas
2015-08-19,18 de Marzo A,1,Sacrificado,1,15270101,Tejas
2015-08-21,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-08-24,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-08-26,18 de Marzo A,1,No Determinado,1,15270101,Tejas
2015-09-01,18 de Marzo A,2,Neumonia,2,15270101,Tejas
2015-09-01,18 de Marzo A,1,Ulcera Gástrica,1,15270101,Tejas
2015-09-01,18 de Marzo A,1,Poliserositis,1,15270101,Tejas
2015-09-02,18 de Marzo A,1,Ulcera Gástrica,1,15270101,Tejas
2015-09-03,18 de Marzo A,1,Poliserositis,1,15270101,Tejas
2015-09-07,18 de Marzo A,1,No Determinado,1,15270101,Tejas
2015-09-09,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-09-10,18 de Marzo A,1,Poliserositis,1,15270101,Tejas
2015-09-12,18 de Marzo A,2,Poliserositis,2,15270101,Tejas
2015-09-15,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-09-17,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-09-24,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-09-24,18 de Marzo A,1,Sindrome Hemorrágico,1,15270101,Tejas
2015-09-24,18 de Marzo A,1,Strepto suis (Incordinado),1,15270101,Tejas
2015-09-26,18 de Marzo A,1,Ulcera Gástrica,1,15270101,Tejas
2015-09-28,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-10-03,18 de Marzo A,1,Neumonia,1,15270101,Tejas
2015-08-08,18 de Marzo A,1,No Determinado,1,15280101,Tejas
2015-08-18,18 de Marzo A,1,Poliserositis,1,15280101,Tejas
2015-08-25,18 de Marzo A,1,Edema,1,15280101,Tejas
2015-08-26,18 de Marzo A,1,Edema,1,15280101,Tejas
2015-08-27,18 de Marzo A,2,Strepto suis (Incordinado),2,15280101,Tejas
2015-09-02,18 de Marzo A,1,Descriado,1,15280101,Tejas
2015-09-03,18 de Marzo A,2,PoliserositisDescriado,2,15280101,Tejas
2015-09-04,18 de Marzo A,2,Sacrificado,2,15280101,Tejas
2015-09-07,18 de Marzo A,1,Neumonia,1,15280101,Tejas
2015-09-08,18 de Marzo A,1,Neumonia,1,15280101,Tejas
2015-09-10,18 de Marzo A,1,Neumonia,1,15280101,Tejas
2015-09-14,18 de Marzo A,1,Edema,1,15280101,Tejas
2015-09-25,18 de Marzo A,1,Neumonia,1,15280101,Tejas
2015-10-01,18 de Marzo A,1,Neumonia,1,15280101,Tejas
2015-10-02,18 de Marzo A,1,Ulcera Gástrica,1,15280101,Tejas
2015-08-17,18 de Marzo A,2,Strepto suis (Incordinado),2,15290101,Tejas
2015-08-18,18 de Marzo A,2,Descriado,2,15290101,Tejas
2015-08-20,18 de Marzo A,2,No Determinado,2,15290101,Tejas
2015-08-21,18 de Marzo A,1,Strepto suis (Incordinado),1,15290101,Tejas
2015-08-22,18 de Marzo A,2,Descriado,2,15290101,Tejas
2015-08-26,18 de Marzo A,1,Poliserositis,1,15290101,Tejas
2015-09-01,18 de Marzo A,2,EdemaPoliserositis,2,15290101,Tejas
2015-09-04,18 de Marzo A,2,Descriado,2,15290101,Tejas
2015-09-07,18 de Marzo A,1,No Determinado,1,15290101,Tejas
2015-09-08,18 de Marzo A,2,NeumoniaPoliserositis,2,15290101,Tejas
2015-09-11,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-09-11,18 de Marzo A,2,Poliserositis,2,15290101,Tejas
2015-09-17,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-09-21,18 de Marzo A,1,Poliserositis,1,15290101,Tejas
2015-09-22,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-09-25,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-10-01,18 de Marzo A,1,Sindrome Hemorrágico,1,15290101,Tejas
2015-10-02,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-10-03,18 de Marzo A,2,Poliserositis,2,15290101,Tejas
2015-08-19,18 de Marzo A,1,Poliserositis,1,15290101,Tejas
2015-08-22,18 de Marzo A,1,Descriado,1,15290101,Tejas
2015-09-01,18 de Marzo A,2,Descriado,2,15290101,Tejas
2015-09-03,18 de Marzo A,1,Descriado,1,15290101,Tejas
2015-09-05,18 de Marzo A,1,Poliserositis,1,15290101,Tejas
2015-09-07,18 de Marzo A,1,No Determinado,1,15290101,Tejas
2015-09-11,18 de Marzo A,1,Descriado,1,15290101,Tejas
2015-09-12,18 de Marzo A,1,Neumonia,1,15290101,Tejas
2015-09-12,18 de Marzo A,2,Poliserositis,2,15290101,Tejas
2015-09-14,18 de Marzo A,2,Descriado,2,15290101,Tejas
2015-09-16,18 de Marzo A,1,Descriado,1,15290101,Tejas
2015-09-21,18 de Marzo A,2,Neumonia,2,15290101,Tejas
