fecha,edad_sem,granja,tamano_muestra,kilos_total

2015-07-26,3,18 de Marzo A,320,1760

2015-08-02,4,18 de Marzo A,1394,7667

2015-08-02,3,18 de Marzo A,247,1852.5

2015-08-09,5,18 de Marzo A,1392,7656

2015-08-09,4,18 de Marzo A,721,3973.002

2015-08-09,3,18 de Marzo A,915,5032.5

2015-08-16,6,18 de Marzo A,1391,17251.182

2015-08-16,5,18 de Marzo A,721,6943.23

2015-08-16,4,18 de Marzo A,1412,10592.824

2015-08-16,3,18 de Marzo A,973,5351.5

2015-08-23,7,18 de Marzo A,1389,21883.695

2015-08-23,6,18 de Marzo A,720,8929.44

2015-08-23,5,18 de Marzo A,1403,13510.89

2015-08-23,4,18 de Marzo A,971,7284.442

2015-08-30,8,18 de Marzo A,1387,27473.696

2015-08-30,7,18 de Marzo A,716,11280.58

2015-08-30,6,18 de Marzo A,1402,17387.604

2015-08-30,5,18 de Marzo A,971,9350.73

2015-09-06,9,18 de Marzo A,1381,33445.058

2015-09-06,8,18 de Marzo A,711,14083.488

2015-09-06,7,18 de Marzo A,1398,22025.49

2015-09-06,6,18 de Marzo A,967,11992.734

2015-09-13,10,18 de Marzo A,1376,40191.584

2015-09-13,9,18 de Marzo A,708,17146.344

2015-09-13,8,18 de Marzo A,1392,27572.736

2015-09-13,7,18 de Marzo A,962,15156.31

2015-09-20,11,18 de Marzo A,1374,47452.464

2015-09-20,10,18 de Marzo A,707,20650.763

2015-09-20,9,18 de Marzo A,1391,33687.238

2015-09-20,8,18 de Marzo A,959,18995.872

2015-09-27,12,18 de Marzo A,1370,54823.29

2015-09-27,11,18 de Marzo A,706,24382.416

2015-09-27,10,18 de Marzo A,1388,40542.092

2015-09-27,9,18 de Marzo A,948,22958.664

2015-10-04,13,18 de Marzo A,1368,62442.36

2015-10-04,12,18 de Marzo A,704,28171.968

2015-10-04,11,18 de Marzo A,1384,47797.824

2015-10-04,10,18 de Marzo A,943,27544.087
