fecha,granja,tipo_alimento,origen_alimento,cantidad

2015-04-22,Potrerillos 2,Nupig Sew,Planta de Alimentos Sanfandila,400

2015-04-22,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-04-27,Potrerillos 2,Nupig Sew,Planta de Alimentos Sanfandila,400

2015-04-27,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-05-01,Potrerillos 2,Preiniciador 2,Planta de Alimentos Sanfandila,6040

2015-05-07,Potrerillos 2,Nupig Sew,Planta de Alimentos Sanfandila,200

2015-05-07,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,1500

2015-05-09,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,1500

2015-05-09,Potrerillos 2,Preiniciador 2,Planta de Alimentos Sanfandila,8770

2015-05-09,Potrerillos 2,Preiniciador 3,Planta de Alimentos Sanfandila,2640

2015-05-11,Potrerillos 2,Nupig Sew,Planta de Alimentos Sanfandila,300

2015-05-11,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-05-13,Potrerillos 2,Nupig Sew,Planta de Alimentos Sanfandila,300

2015-05-13,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-05-16,Potrerillos 2,Preiniciador 2,Planta de Alimentos Sanfandila,9740

2015-05-16,Potrerillos 2,Preiniciador 3,Planta de Alimentos Sanfandila,8015

2015-05-18,Potrerillos 2,Nupig Uno,Planta de Alimentos Sanfandila,3000

2015-05-23,Potrerillos 2,Preiniciador 3,Planta de Alimentos Sanfandila,8885

2015-05-28,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,11390

2015-05-30,Potrerillos 2,Preiniciador 3,Planta de Alimentos Sanfandila,8810

2015-06-02,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,12845

2015-06-05,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,12230

2015-06-08,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,13735

2015-06-12,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,15735

2015-06-15,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,13330

2015-06-20,Potrerillos 2,Iniciador F2,Planta de Alimentos Sanfandila,15610

2015-07-01,Potrerillos 2,Iniciador F2,Siguiente Engorda,5000
