fecha,granja,total_muertos,causa_muerte,muerto_por_esta_causa,lote,flujo

2015-08-13,Sanfandila C,1,Strepto suis (Incordinado),1,15140301,Sanfandila

2015-07-01,Sanfandila C,1,No Determinado,1,15140401,Tepuza

2015-07-15,Sanfandila C,1,Neumonia,1,15140401,Tepuza

2015-07-16,Sanfandila C,1,Neumonia,1,15140401,Tepuza

2015-07-23,Sanfandila C,1,No Determinado,1,15140401,Tepuza

2015-08-02,Sanfandila C,2,Ulcera Gástrica,2,15140401,Tepuza

2015-08-13,Sanfandila C,1,No Determinado,1,15140401,Tepuza

2015-08-17,Sanfandila C,1,No Determinado,1,15140401,Tepuza

2015-08-18,Sanfandila C,1,Neumonia,1,15140401,Tepuza

2015-09-01,Sanfandila C,1,No Determinado,1,15140401,Tepuza

2015-07-11,Sanfandila C,1,Neumonia,1,15140201,Palomas

2015-08-02,Sanfandila C,1,Neumonia,1,15140201,Palomas

2015-08-13,Sanfandila C,1,No Determinado,1,15140201,Palomas

2015-08-20,Sanfandila C,1,Sindrome Hemorrágico,1,15140201,Palomas
2015-09-05,Sanfandila C,1,Sindrome Hemorrágico,1,15140201,Palomas

2015-09-07,Sanfandila C,1,No Determinado,1,15140201,Palomas

2015-06-24,Sanfandila C,1,Neumonia,1,15150301,Sanfandila

2015-07-27,Sanfandila C,1,Strepto suis (Incordinado),1,15150301,Sanfandila

2015-08-06,Sanfandila C,1,Strepto suis (Incordinado),1,15150301,Sanfandila

2015-09-09,Sanfandila C,1,No Determinado,1,15150301,Sanfandila

2015-08-07,Sanfandila C,1,No Determinado,1,15150601,Purgatorio

2015-09-01,Sanfandila C,1,No Determinado,1,15150601,Purgatorio

2015-09-05,Sanfandila C,1,Poliserositis,1,15150601,Purgatorio
