fecha,edad_sem,granja,tamano_muestra,kilos_total

2015-06-15,11,Sanfandila C,490,15058.68

2015-06-22,12,Sanfandila C,993,39739.86

2015-07-01,12,Sanfandila C,616,24652.32

2015-07-06,12,Sanfandila C,606,23698.24

2015-07-13,13,Sanfandila C,992,45279.84

2015-07-23,12,Sanfandila C,1221,48860.76

2015-07-27,14,Sanfandila C,991,50950.28

2015-08-03,17,Sanfandila C,985,69368.63

2015-08-10,16,Sanfandila C,1220,77925.06

2015-08-18,18,Sanfandila C,985,75898.19

2015-08-24,17,Sanfandila C,1218,85777.65

2015-09-01,19,Sanfandila C,982,82396.67

2015-09-07,18,Sanfandila C,1218,93851.77

2015-09-14,20,Sanfandila C,979,89196.69

2015-09-22,19,Sanfandila C,1218,102198.73

2015-09-30,21,Sanfandila C,979,96632.20
