fecha,granja,tipo_alimento,origen_alimento,cantidad
2015-07-01,Maguey,Nupig Sew, Planta de Alimentos Sanfandila,300
2015-07-01,Maguey,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-07-10,Maguey,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-07-10,Maguey,Nupig Uno, Planta de Alimentos Sanfandila,2000
2015-07-17,Maguey,Nupig Sew, Planta de Alimentos Sanfandila,200
2015-07-17,Maguey,Nupig Uno, Planta de Alimentos Sanfandila,3000
2015-07-18,Maguey,Preiniciador 2, Planta de Alimentos Sanfandila,2895
2015-07-23,Maguey,Nupig Uno, Planta de Alimentos Sanfandila,2500
2015-08-01,Maguey,Preiniciador 2,Potrero,2142
2015-08-01,Maguey,Preiniciador 2, Planta de Alimentos Sanfandila,6215
2015-08-04,Maguey,Preiniciador 3,la Luz,3840
2015-08-07,Maguey,Preiniciador 3, Planta de Alimentos Sanfandila,11100
2015-08-07,Maguey,Preiniciador 2, Planta de Alimentos Sanfandila,3055
2015-08-10,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,8890
2015-08-11,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,6940
2015-08-14,Maguey,Preiniciador 3, Planta de Alimentos Sanfandila,6280
2015-08-17,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,10845
2015-08-20,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,8780
2015-08-24,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,5585
2015-08-25,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,6250
2015-08-27,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,12060
2015-08-31,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,5900
2015-08-31,Maguey,Crecimiento , Planta de Alimentos Sanfandila,6275
2015-09-01,Maguey,Iniciador F2, Planta de Alimentos Sanfandila,5935
2015-09-01,Maguey,Crecimiento , Planta de Alimentos Sanfandila,8215
2015-09-03,Maguey,Crecimiento , Planta de Alimentos Sanfandila,15715
2015-09-07,Maguey,Crecimiento , Planta de Alimentos Sanfandila,14635
2015-09-09,Maguey,Crecimiento , Planta de Alimentos Sanfandila,14990
2015-09-11,Maguey,Crecimiento , Planta de Alimentos Sanfandila,9555
2015-09-14,Maguey,Crecimiento , Planta de Alimentos Sanfandila,8825
2015-09-16,Maguey,Crecimiento , Planta de Alimentos Sanfandila,13130
2015-09-19,Maguey,Crecimiento , Planta de Alimentos Sanfandila,9095
2015-09-22,Maguey,Crecimiento , Planta de Alimentos Sanfandila,11740
2015-09-23,Maguey,Crecimiento , Planta de Alimentos Sanfandila,15395
2015-09-26,Maguey,Crecimiento , Planta de Alimentos Sanfandila,6220
2015-09-26,Maguey,Crecimiento , Planta de Alimentos Sanfandila,8990
2015-09-29,Maguey,Desarrollo, Planta de Alimentos Sanfandila,14875
2015-09-30,Maguey,Desarrollo, Planta de Alimentos Sanfandila,9405
2015-10-01,Maguey,Desarrollo, Planta de Alimentos Sanfandila,5895
2015-10-03,Maguey,Desarrollo, Planta de Alimentos Sanfandila,15130
