fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-07-07,Maguey,Tejas,Tejas,25,275,1735,4400
2015-07-08,Maguey,Tejas,Tejas,25,397,2534,6749
2015-07-10,Maguey,Tejas,Tejas,25,436,2709,8284
2015-07-13,Maguey,Tejas,Tejas,25,200,1240,4400
2015-07-13,Maguey,Tejas,Tejas,26,206,1296,3090
2015-07-15,Maguey,Tejas,Tejas,26,406,2772,6902
2015-07-17,Maguey,Tejas,Tejas,26,497,3379,9443
2015-07-20,Maguey,Tejas,Tejas,26,499,3401,10978
2015-07-21,Maguey,Tejas,Tejas,26,227,1525,5221
2015-07-22,Maguey,Tejas,Tejas,27,241,1598,4097
2015-07-24,Maguey,Tejas,Tejas,27,181,1207,3439
