fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-04-24,Viboras,Tejas,Tejas,14,198,1178,4356
2015-04-27,Viboras,Tejas,Tejas,14,359,2067,7790
2015-04-27,Viboras,Tejas,Tejas,15,52,303,1040
2015-04-29,Viboras,Tejas,Tejas,15,177,971,3682
2015-05-01,Viboras,Tejas,Tejas,15,268,1562,5521
2015-05-04,Viboras,Tejas,Tejas,15,345,2124,7521
2015-05-06,Viboras,Tejas,Tejas,15,60,356,1434
2015-05-06,Viboras,Tejas,Tejas,16,367,2223,7677
2015-05-08,Viboras,Tejas,Tejas,16,240,1424,4992
2015-05-11,Viboras,Tejas,Tejas,16,424,2583,9625
2015-05-13,Viboras,Tejas,Tejas,16,51,283,1173
2015-05-13,Viboras,Tejas,Tejas,17,392,2282,8232
2015-05-15,Viboras,Tejas,Tejas,17,222,1401,4640
2015-05-18,Viboras,Tejas,Tejas,17,350,2165,7665
2015-05-20,Viboras,Tejas,Tejas,17,50,309,1150
2015-05-15,Viboras,Zacatecas,Zacatecas,16,92,492,2300
2015-05-15,Viboras,Zacatecas,Zacatecas,17,426,2291,8094
