fecha,granja,movimiento,traspaso_granja_destino,cantidad,kilos_totales,dias_totales,lote,flujo
2015-10-03,Viboras, Venta de Primera,,100,9505,15800,14,Tejas
2015-10-06,Viboras, Venta de Primera,,383,38444,60897,14,Tejas
2015-10-07,Viboras, Venta de Primera,,30,2856,4830,14,Tejas
2015-10-08,Viboras, Venta de Desecho,,1,18,103,14,Tejas
2015-10-09,Viboras, Venta de Desecho,,2,49,230,14,Tejas
2015-10-10,Viboras, Venta de Desecho,,1,32,143,14,Tejas
2015-09-03,Viboras, Venta de Desecho,,1,45,150,14,Tejas
2015-09-13,Viboras, Venta de Primera,,480,45689,73920,15,Tejas
2015-09-17,Viboras, Venta de Primera,,297,26918,46926,15,Tejas
2015-07-17,Viboras, Venta de Desecho,,4,74,384,15,Tejas
2015-07-29,Viboras, Venta de Desecho,,3,73,324,15,Tejas
2015-08-12,Viboras, Venta de Desecho,,1,27,122,15,Tejas
2015-08-26,Viboras, Venta de Desecho,,1,32,136,15,Tejas
2015-09-02,Viboras, Venta de Desecho,,1,45,143,15,Tejas
2015-09-15,Viboras, Venta de Desecho,,6,349,936,15,Tejas
2015-09-17,Viboras, Venta de Primera,,3,271.89,453,16,Tejas
2015-09-23,Viboras, Venta de Primera,,370,35518,58090,16,Tejas
2015-09-24,Viboras, Venta de Primera,,311,29978,49138,16,Tejas
2015-09-25,Viboras, Venta de Primera,,97,9681,15423,16,Tejas
2015-09-26,Viboras, Venta de Primera,,51,4510,8160,16,Tejas
2015-09-28,Viboras, Venta de Primera,,64,5486,10368,16,Tejas
2015-07-07,Viboras, Venta de Desecho,,8,104,632,16,Tejas
2015-07-17,Viboras, Venta de Desecho,,8,147,712,16,Tejas
2015-07-29,Viboras, Venta de Desecho,,7,170.17,707,16,Tejas
2015-08-12,Viboras, Venta de Desecho,,5,137,575,16,Tejas
2015-08-26,Viboras, Venta de Desecho,,5,157,645,16,Tejas
2015-09-02,Viboras, Venta de Desecho,,6,272,816,16,Tejas
2015-09-15,Viboras, Venta de Desecho,,2,116.24,298,16,Tejas
2015-09-23,Viboras, Venta de Retrasado,,3,206,471,16,Tejas
2015-09-24,Viboras, Venta de Retrasado,,3,282,474,16,Tejas
2015-09-24,Viboras, Venta de Primera,,30,2891,4530,17,Tejas
2015-09-25,Viboras, Venta de Primera,,100,9980,15200,17,Tejas
2015-09-26,Viboras, Venta de Primera,,13,1150,1989,17,Tejas
2015-09-27,Viboras, Venta de Primera,,100,9400,15400,17,Tejas
2015-09-28,Viboras, Venta de Primera,,20,1714,3100,17,Tejas
2015-09-30,Viboras, Venta de Primera,,184,15705,28888,17,Tejas
2015-10-01,Viboras, Venta de Primera,,32,2736,5056,17,Tejas
2015-10-03,Viboras, Venta de Primera,,30,2510,4800,17,Tejas
2015-10-04,Viboras, Venta de Primera,,230,18979.6,37030,17,Tejas
2015-07-07,Viboras, Venta de Desecho,,7,91,504,17,Tejas
2015-07-17,Viboras, Venta de Desecho,,6,110,492,17,Tejas
2015-07-29,Viboras, Venta de Desecho,,4,97,376,17,Tejas
2015-08-12,Viboras, Venta de Desecho,,8,219,864,17,Tejas
2015-08-26,Viboras, Venta de Desecho,,6,189.96,732,17,Tejas
2015-09-02,Viboras, Venta de Desecho,,7,318,903,17,Tejas
2015-09-24,Viboras, Venta de Desecho,,11,513,1661,17,Tejas
2015-10-01,Viboras, Venta de Desecho,,5,256,790,17,Tejas
2015-10-01,Viboras, Venta de Retrasado,,4,323,632,17,Tejas
2015-10-03,Viboras, Venta de Retrasado,,37,2839,5920,17,Tejas
2015-10-05,Viboras, Venta de Retrasado,,40,2481,6480,17,Tejas
2015-09-23,Viboras, Venta de Primera,,80,7680,12560,16,Zacatecas
2015-09-24,Viboras, Venta de Primera,,9,868,1422,16,Zacatecas
2015-08-26,Viboras, Venta de Desecho,,1,32,129,16,Zacatecas
2015-09-24,Viboras, Venta de Primera,,20,1928,3020,17,Zacatecas
2015-09-25,Viboras, Venta de Primera,,213,21259,32376,17,Zacatecas
2015-09-30,Viboras, Venta de Primera,,55,4695,8635,17,Zacatecas
2015-10-01,Viboras, Venta de Primera,,88,7524,13904,17,Zacatecas
2015-10-04,Viboras, Venta de Primera,,27,2230,4347,17,Zacatecas
2015-10-05,Viboras, Venta de Primera,,1,90,162,17,Zacatecas
2015-07-17,Viboras, Venta de Desecho,,3,55,246,17,Zacatecas
2015-08-26,Viboras, Venta de Desecho,,1,32,122,17,Zacatecas
2015-09-02,Viboras, Venta de Desecho,,2,91,258,17,Zacatecas
2015-10-03,Viboras, Venta de Retrasado,,2,190,320,17,Zacatecas
2015-10-05,Viboras, Venta de Retrasado,,2,124,324,17,Zacatecas
