sem_edad,dias_edad,sitios,alimento,consumo_alimento,mortalidad,ganancia_diaria,peso,peso_desecho,peso_retrasado,porcentaje_desecho,porcentaje_retrasado,inventario_inicial,inventario_final,inventario_desecho,inventario_retrasado,cantidad_alimento_consumido,cantidad_alimento_acumulado,kg_carne,conversion_alimenticia
,,S1,,,0,,5.5 ,,,,,,2000,,,,,11000,
4,21,S2,NUPIG SEW,0.167 ,0.0004537548,0.167,5.7 ,,,,,2000,1999.0924903577,,,333.3333333333,333.3333333333,11328.8571428571,1.014
4,22,S2,NUPIG SEW,0.167 ,0.0004537548,0.167,5.8 ,,,,,1999.0924903577,1998.1849807154,,,333.1820817263,666.5154150596,11657.4111774938,1.014
4,23,S2,NUPIG SEW,0.167 ,0.0004537548,0.167,6.0 ,,,,,1998.1849807154,1997.2774710731,,,333.0308301192,999.5462451789,11985.6621039099,1.014
4,24,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,6.2 ,,,,,1997.2774710731,1996.3699614308,,,544.7120375654,1544.2582827443,12433.3921197913,1.077
4,25,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,6.5 ,,,,,1996.3699614308,1995.4624517886,,,544.4645349357,2088.7228176799,12880.7101262951,1.111
4,26,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,6.7 ,,,,,1995.4624517886,1994.5549421463,,,544.217032306,2632.9398499859,13327.6161234213,1.131
4,27,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,6.9 ,,,,,1994.5549421463,1993.647432504,,,543.9695296763,3176.9093796622,13774.1101111699,1.145
5,28,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,7.1 ,,,,,1993.647432504,1992.7399228617,,,543.7220270465,3720.6314067087,14220.1920895409,1.155
5,29,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,7.4 ,,,,,1992.7399228617,1991.8324132194,,,543.4745244168,4264.1059311255,14665.8620585344,1.163
5,30,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,7.6 ,,,,,1991.8324132194,1990.9249035771,,,543.2270217871,4807.3329529126,15111.1200181502,1.169
5,31,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,7.8 ,,,,,1990.9249035771,1990.0173939348,,,542.9795191574,5350.31247207,15555.9659683884,1.174
5,32,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,8.0 ,,,,,1990.0173939348,1989.1098842925,,,542.7320165277,5893.0444885977,16000.399909249,1.179
5,33,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,8.3 ,,,,,1989.1098842925,1988.2023746502,,,542.484513898,6435.5290024957,16444.4218407321,1.182
5,34,S2,NUPIG UNO,0.273 ,0.0004537548,0.227,8.5 ,,,,,1988.2023746502,1987.2948650079,,,542.2370112682,6977.7660137639,16888.0317628375,1.185
6,35,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,8.9 ,,,,,1987.2948650079,1986.3873553657,,,1135.5970657188,8113.3630794827,17732.4799213492,1.205
6,36,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,9.4 ,,,,,1986.3873553657,1985.4798457234,,,1135.0784887804,9248.4415682631,18576.1494365878,1.221
6,37,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,9.8 ,,,,,1985.4798457234,1984.5723360811,,,1134.5599118419,10383.001480105,19419.0403085533,1.233
6,38,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,10.2 ,,,,,1984.5723360811,1983.6648264388,,,1134.0413349035,11517.0428150085,20261.1525372457,1.244
6,39,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,10.6 ,,,,,1983.6648264388,1982.7573167965,,,1133.522757965,12650.5655729735,21102.486122665,1.252
6,40,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,11.1 ,,,,,1982.7573167965,1981.8498071542,,,1133.0041810266,13783.5697540001,21943.0410648113,1.260
6,41,S2,PREINI 2 CONC. 28,0.571 ,0.0004537548,0.429,11.5 ,,,,,1981.8498071542,1980.9422975119,,,1132.4856040881,14916.0553580882,22782.8173636845,1.266
7,42,S2,PREINI 3 NUMIX,0.857 ,0.0004537548,0.571,12.1 ,,,,,1980.9422975119,1980.0347878696,,,1697.9505407245,16614.0058988127,23902.979959162,1.288
7,43,S2,PREINI 3 NUMIX,0.857 ,0.0004537548,0.571,12.6 ,,,,,1980.0347878696,1979.1272782273,,,1697.1726753168,18311.1785741295,25022.1061786281,1.306
7,44,S2,PREINI 3 NUMIX,0.857 ,0.0004537548,0.571,13.2 ,,,,,1979.1272782273,1978.219768585,,,1696.3948099091,20007.5733840386,26140.1960220827,1.321
