fecha, granja, tipo_alimento, origen_alimento, cantidad
,,,,
2015-08-14,18 de Marzo B,Nupig Sew,Planta de Alimentos Sanfandila,400
2015-08-14,18 de Marzo B,Nupig Uno,Planta de Alimentos Sanfandila,3000
2015-08-21,18 de Marzo B,Nupig Sew,Planta de Alimentos Sanfandila,200
2015-08-21,18 de Marzo B,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-08-21,18 de Marzo B,Nupig Sew,18 de Marzo A,800
2015-08-24,18 de Marzo B,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-08-29,18 de Marzo B,Preiniciador 2,Planta de Alimentos Sanfandila,9055
2015-08-29,18 de Marzo B,Preiniciador 2,18 de Marzo A,8750
2015-09-03,18 de Marzo B,Nupig Uno,Planta de Alimentos Sanfandila,3000
2015-09-10,18 de Marzo B,Nupig Uno,Planta de Alimentos Sanfandila,2000
2015-09-12,18 de Marzo B,Preiniciador 3,Planta de Alimentos Sanfandila,5580
2015-09-14,18 de Marzo B,Preiniciador 3,18 de Marzo A,8780
2015-09-18,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,5415
2015-09-19,18 de Marzo B,Preiniciador 3,Planta de Alimentos Sanfandila,8055
2015-09-24,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,5985
2015-09-25,18 de Marzo B,Preiniciador 3,Planta de Alimentos Sanfandila,8600
2015-09-29,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,11950
2015-10-01,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,8840
2015-10-03,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,6215
2015-10-06,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,6200
2015-10-07,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,5140
2015-10-08,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,11340
2015-10-08,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,1085
2015-10-09,18 de Marzo B,Crecimiento ,Planta de Alimentos Sanfandila,6535
2015-10-10,18 de Marzo B,Iniciador F2,Planta de Alimentos Sanfandila,8805
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
