fecha,granja,total_muertos,causa_muerte,muerto_por_esta_causa,lote,flujo
2015-09-04,18 de Marzo B,2,Sacrificado,2,15300101,Tejas
2015-09-14,18 de Marzo B,2,Descriado,2,15300101,Tejas
2015-09-15,18 de Marzo B,40,Neumonia,40,15300101,Tejas
2015-09-19,18 de Marzo B,40,No Determinado,40,15300101,Tejas
2015-09-21,18 de Marzo B,40,Strepto suis (Incordinado),40,15300101,Tejas
2015-09-22,18 de Marzo B,40,Edema,40,15300101,Tejas
2015-09-28,18 de Marzo B,40,No Determinado,40,15300101,Tejas
2015-10-01,18 de Marzo B,2,Poliserositis,2,15300101,Tejas
2015-10-02,18 de Marzo B,40,Ulcera Gástrica,40,15300101,Tejas
2015-10-02,18 de Marzo B,40,Poliserositis,40,15300101,Tejas
2015-10-03,18 de Marzo B,40,Edema,40,15300101,Tejas
2015-08-29,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-09-01,18 de Marzo B,40,Descriado,40,15310101,Tejas
2015-09-02,18 de Marzo B,40,Strepto suis (Incordinado),40,15310101,Tejas
2015-09-07,18 de Marzo B,2,Strepto suis (Incordinado),2,15310101,Tejas
2015-09-07,18 de Marzo B,2,Muerte En Embarque,2,15310101,Tejas
2015-09-08,18 de Marzo B,40,Muerte En Embarque,40,15310101,Tejas
2015-09-09,18 de Marzo B,40,Edema,40,15310101,Tejas
2015-09-10,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-09-14,18 de Marzo B,2,Descriado,2,15310101,Tejas
2015-09-14,18 de Marzo B,40,Poliserositis,40,15310101,Tejas
2015-09-15,18 de Marzo B,2,Estres,2,15310101,Tejas
2015-09-16,18 de Marzo B,40,Poliserositis,40,15310101,Tejas
2015-09-21,18 de Marzo B,2,Descriado,2,15310101,Tejas
2015-09-22,18 de Marzo B,2,Descriado,2,15310101,Tejas
2015-09-23,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-09-23,18 de Marzo B,40,Descriado,40,15310101,Tejas
2015-09-23,18 de Marzo B,40,Ulcera Gástrica,40,15310101,Tejas
2015-09-23,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-09-24,18 de Marzo B,40,Descriado,40,15310101,Tejas
2015-09-24,18 de Marzo B,40,Strepto suis (Incordinado),40,15310101,Tejas
2015-09-24,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-09-25,18 de Marzo B,40,Edema,40,15310101,Tejas
2015-09-28,18 de Marzo B,2,Poliserositis,2,15310101,Tejas
2015-09-29,18 de Marzo B,3,Edema,3,15310101,Tejas
2015-10-01,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-10-02,18 de Marzo B,40,Edema,40,15310101,Tejas
2015-10-02,18 de Marzo B,40,Neumonia,40,15310101,Tejas
2015-10-02,18 de Marzo B,40,Descriado,40,15310101,Tejas
2015-09-05,18 de Marzo B,40,Strepto suis (Incordinado),40,15320101,Tejas
2015-09-07,18 de Marzo B,2,Edema,2,15320101,Tejas
2015-09-08,18 de Marzo B,40,No Determinado,40,15320101,Tejas
2015-09-15,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-17,18 de Marzo B,2,Descriado,2,15320101,Tejas
2015-09-18,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-22,18 de Marzo B,40,No Determinado,40,15320101,Tejas
2015-09-23,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-24,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-25,18 de Marzo B,40,Ulcera Gástrica,40,15320101,Tejas
2015-09-26,18 de Marzo B,40,Edema,40,15320101,Tejas
2015-09-29,18 de Marzo B,40,Strepto suis (Incordinado),40,15320101,Tejas
2015-10-01,18 de Marzo B,2,Descriado,2,15320101,Tejas
2015-09-11,18 de Marzo B,2,Descriado,2,15320101,Tejas
2015-09-12,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-22,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-28,18 de Marzo B,40,Descriado,40,15320101,Tejas
2015-09-29,18 de Marzo B,2,Edema,2,15320101,Tejas
2015-10-03,18 de Marzo B,40,Neumonia,40,15320101,Tejas
2015-10-05,18 de Marzo B,2,Strepto suis (Incordinado),2,15300101,Tejas
2015-10-07,18 de Marzo B,2,Ulcera Gástrica,2,15300101,Tejas
2015-10-09,18 de Marzo B,2,Edema,2,15300101,Tejas
2015-10-05,18 de Marzo B,2,Poliserositis,2,15310101,Tejas
2015-10-06,18 de Marzo B,40,Poliserositis,40,15310101,Tejas
2015-10-08,18 de Marzo B,40,Edema,40,15310101,Tejas
2015-10-09,18 de Marzo B,40,Ulcera Gástrica,40,15310101,Tejas
2015-10-10,18 de Marzo B,2,Edema,2,15310101,Tejas
2015-10-05,18 de Marzo B,2,Descriado,2,15320101,Tejas
2015-10-06,18 de Marzo B,4,Edema,4,15320101,Tejas
2015-10-07,18 de Marzo B,4,Edema,4,15320101,Tejas
2015-10-08,18 de Marzo B,5,Ulcera Gástrica,5,15320101,Tejas
2015-10-09,18 de Marzo B,40,Ulcera Gástrica,40,15320101,Tejas
2015-10-10,18 de Marzo B,4,No Determinado,4,15320101,Tejas
2015-10-08,18 de Marzo B,40,No Determinado,40,15330101,Tejas
